"Step","stairs_pose_net_effb0 - epoch/test_rotation_loss","stairs_pose_net_effb0 - epoch/test_rotation_loss__MIN","stairs_pose_net_effb0 - epoch/test_rotation_loss__MAX","pumpkin_pose_net_effb0 - epoch/test_rotation_loss","pumpkin_pose_net_effb0 - epoch/test_rotation_loss__MIN","pumpkin_pose_net_effb0 - epoch/test_rotation_loss__MAX","office_pose_net_effb0 - epoch/test_rotation_loss","office_pose_net_effb0 - epoch/test_rotation_loss__MIN","office_pose_net_effb0 - epoch/test_rotation_loss__MAX","heads_pose_net_effb0 - epoch/test_rotation_loss","heads_pose_net_effb0 - epoch/test_rotation_loss__MIN","heads_pose_net_effb0 - epoch/test_rotation_loss__MAX","fire_pose_net_effb0 - epoch/test_rotation_loss","fire_pose_net_effb0 - epoch/test_rotation_loss__MIN","fire_pose_net_effb0 - epoch/test_rotation_loss__MAX","chess_pose_net_effb0 - epoch/test_rotation_loss","chess_pose_net_effb0 - epoch/test_rotation_loss__MIN","chess_pose_net_effb0 - epoch/test_rotation_loss__MAX"
"1","0.017515316314529628","0.017515316314529628","0.017515316314529628","0.03425479412544519","0.03425479412544519","0.03425479412544519","0.05740930055617355","0.05740930055617355","0.05740930055617355","0.014905566407833248","0.014905566407833248","0.014905566407833248","0.054184703214559704","0.054184703214559704","0.054184703214559704","0.019110434033791535","0.019110434033791535","0.019110434033791535"
"2","0.013067980529740453","0.013067980529740453","0.013067980529740453","0.02502534662198741","0.02502534662198741","0.02502534662198741","0.05572412381297909","0.05572412381297909","0.05572412381297909","0.01411609083879739","0.01411609083879739","0.01411609083879739","0.0407531522505451","0.0407531522505451","0.0407531522505451","0.019442891905782744","0.019442891905782744","0.019442891905782744"
"3","0.013948928855825216","0.013948928855825216","0.013948928855825216","0.024643623662996106","0.024643623662996106","0.024643623662996106","0.05481120280455798","0.05481120280455798","0.05481120280455798","0.01428539480548352","0.01428539480548352","0.01428539480548352","0.038622235297225416","0.038622235297225416","0.038622235297225416","0.019237738437368535","0.019237738437368535","0.019237738437368535"
"4","0.014314596337499097","0.014314596337499097","0.014314596337499097","0.024278079057694413","0.024278079057694413","0.024278079057694413","0.05395084212068468","0.05395084212068468","0.05395084212068468","0.014503503043670207","0.014503503043670207","0.014503503043670207","0.03887583437608555","0.03887583437608555","0.03887583437608555","0.019047481313464232","0.019047481313464232","0.019047481313464232"
"5","0.014215327973943204","0.014215327973943204","0.014215327973943204","0.02391028151032515","0.02391028151032515","0.02391028151032515","0.05305537975800689","0.05305537975800689","0.05305537975800689","0.014222638797946274","0.014222638797946274","0.014222638797946274","0.03902574855601415","0.03902574855601415","0.03902574855601415","0.018871638312703","0.018871638312703","0.018871638312703"
"6","0.013993220956763253","0.013993220956763253","0.013993220956763253","0.023477405702578835","0.023477405702578835","0.023477405702578835","0.05221631706808694","0.05221631706808694","0.05221631706808694","0.01419722373248078","0.01419722373248078","0.01419722373248078","0.038642931991489604","0.038642931991489604","0.038642931991489604","0.018712430872255936","0.018712430872255936","0.018712430872255936"
"7","0.013880589714972302","0.013880589714972302","0.013880589714972302","0.023043405017233454","0.023043405017233454","0.023043405017233454","0.051204775139922276","0.051204775139922276","0.051204775139922276","0.014189195266226307","0.014189195266226307","0.014189195266226307","0.03817462382721715","0.03817462382721715","0.03817462382721715","0.018543334066634998","0.018543334066634998","0.018543334066634998"
"8","0.013674608839210123","0.013674608839210123","0.013674608839210123","0.02261930644453969","0.02261930644453969","0.02261930644453969","0.0501915066561196","0.0501915066561196","0.0501915066561196","0.01413599809166044","0.01413599809166044","0.01413599809166044","0.03783324098912999","0.03783324098912999","0.03783324098912999","0.01839381514582783","0.01839381514582783","0.01839381514582783"
"9","0.013452672341372818","0.013452672341372818","0.013452672341372818","0.02226286134100519","0.02226286134100519","0.02226286134100519","0.04914977050793823","0.04914977050793823","0.04914977050793823","0.014084750844631344","0.014084750844631344","0.014084750844631344","0.037505895481444895","0.037505895481444895","0.037505895481444895","0.018239351731608622","0.018239351731608622","0.018239351731608622"
"10","0.013306658394867554","0.013306658394867554","0.013306658394867554","0.021859937551198527","0.021859937551198527","0.021859937551198527","0.04793317895382643","0.04793317895382643","0.04793317895382643","0.013987040991196409","0.013987040991196409","0.013987040991196409","0.03712818608619273","0.03712818608619273","0.03712818608619273","0.01807733486930374","0.01807733486930374","0.01807733486930374"
"11","0.013144165539415553","0.013144165539415553","0.013144165539415553","0.021499003953067586","0.021499003953067586","0.021499003953067586","0.046640874876175076","0.046640874876175076","0.046640874876175076","0.013902645878260955","0.013902645878260955","0.013902645878260955","0.036809088313020766","0.036809088313020766","0.036809088313020766","0.01793221458501648","0.01793221458501648","0.01793221458501648"
"12","0.013013856019824743","0.013013856019824743","0.013013856019824743","0.02115632194909267","0.02115632194909267","0.02115632194909267","0.04521457935334183","0.04521457935334183","0.04521457935334183","0.013838420796673745","0.013838420796673745","0.013838420796673745","0.036428393330425024","0.036428393330425024","0.036428393330425024","0.017763108146027662","0.017763108146027662","0.017763108146027662"
"13","0.012856352928793058","0.012856352928793058","0.012856352928793058","0.020728865609271452","0.020728865609271452","0.020728865609271452","0.043628708299365826","0.043628708299365826","0.043628708299365826","0.013779339496977627","0.013779339496977627","0.013779339496977627","0.03605278109898791","0.03605278109898791","0.03605278109898791","0.017602225329028443","0.017602225329028443","0.017602225329028443"
"14","0.012709549628198147","0.012709549628198147","0.012709549628198147","0.02034217573236674","0.02034217573236674","0.02034217573236674","0.0418010194262024","0.0418010194262024","0.0418010194262024","0.013685687881661579","0.013685687881661579","0.013685687881661579","0.03563754545757547","0.03563754545757547","0.03563754545757547","0.017438714814488776","0.017438714814488776","0.017438714814488776"
"15","0.01250389136839658","0.01250389136839658","0.01250389136839658","0.020000352829811163","0.020000352829811163","0.020000352829811163","0.04001019257702865","0.04001019257702865","0.04001019257702865","0.013610480586066842","0.013610480586066842","0.013610480586066842","0.03526913680252619","0.03526913680252619","0.03526913680252619","0.017284984191064723","0.017284984191064723","0.017284984191064723"
"16","0.012394347082590684","0.012394347082590684","0.012394347082590684","0.019611868541687727","0.019611868541687727","0.019611868541687727","0.038138148112921044","0.038138148112921044","0.038138148112921044","0.013536067039240152","0.013536067039240152","0.013536067039240152","0.034846936468966305","0.034846936468966305","0.034846936468966305","0.017138847120804712","0.017138847120804712","0.017138847120804712"
"17","0.012276643596123904","0.012276643596123904","0.012276643596123904","0.01929169538198039","0.01929169538198039","0.01929169538198039","0.03596980485599488","0.03596980485599488","0.03596980485599488","0.013467583718011156","0.013467583718011156","0.013467583718011156","0.034380956494715065","0.034380956494715065","0.034380956494715065","0.016994331192108802","0.016994331192108802","0.016994331192108802"
"18","0.01206669703242369","0.01206669703242369","0.01206669703242369","0.018908700556494296","0.018908700556494296","0.018908700556494296","0.03393467176647391","0.03393467176647391","0.03393467176647391","0.013401295815128833","0.013401295815128833","0.013401295815128833","0.03391877455578651","0.03391877455578651","0.03391877455578651","0.01684179673611652","0.01684179673611652","0.01684179673611652"
"19","0.011904509738087654","0.011904509738087654","0.011904509738087654","0.01859677507309243","0.01859677507309243","0.01859677507309243","0.03201130205707159","0.03201130205707159","0.03201130205707159","0.013327163411304355","0.013327163411304355","0.013327163411304355","0.03352535799785983","0.03352535799785983","0.03352535799785983","0.01665777066955343","0.01665777066955343","0.01665777066955343"
"20","0.01174123992677778","0.01174123992677778","0.01174123992677778","0.018150183226680383","0.018150183226680383","0.018150183226680383","0.030282035673735663","0.030282035673735663","0.030282035673735663","0.013282739644637331","0.013282739644637331","0.013282739644637331","0.03311169650987722","0.03311169650987722","0.03311169650987722","0.016495699805091135","0.016495699805091135","0.016495699805091135"
"21","0.011614748800639063","0.011614748800639063","0.011614748800639063","0.017758137968485244","0.017758137968485244","0.017758137968485244","0.02901503881730605","0.02901503881730605","0.02901503881730605","0.013226977578597143","0.013226977578597143","0.013226977578597143","0.03259218561288435","0.03259218561288435","0.03259218561288435","0.016303066222462803","0.016303066222462803","0.016303066222462803"
"22","0.01146527417586185","0.01146527417586185","0.01146527417586185","0.017389426880981773","0.017389426880981773","0.017389426880981773","0.02812798533705063","0.02812798533705063","0.02812798533705063","0.013150768354535103","0.013150768354535103","0.013150768354535103","0.03215316793648526","0.03215316793648526","0.03215316793648526","0.016141670930664986","0.016141670930664986","0.016141670930664986"
"23","0.011270037706708536","0.011270037706708536","0.011270037706708536","0.01707788449130021","0.01707788449130021","0.01707788449130021","0.02785089435928967","0.02785089435928967","0.02785089435928967","0.013083787547657266","0.013083787547657266","0.013083787547657266","0.031587998411851004","0.031587998411851004","0.031587998411851004","0.015955201437463984","0.015955201437463984","0.015955201437463984"
"24","0.011134788044728339","0.011134788044728339","0.011134788044728339","0.016705728572560474","0.016705728572560474","0.016705728572560474","0.027972154115559533","0.027972154115559533","0.027972154115559533","0.013014347641728818","0.013014347641728818","0.013014347641728818","0.03111750865355134","0.03111750865355134","0.03111750865355134","0.015774144878378138","0.015774144878378138","0.015774144878378138"
"25","0.01098550227470696","0.01098550227470696","0.01098550227470696","0.016380273722461425","0.016380273722461425","0.016380273722461425","0.028436036212951876","0.028436036212951876","0.028436036212951876","0.012949895113706589","0.012949895113706589","0.012949895113706589","0.030550566443707794","0.030550566443707794","0.030550566443707794","0.015560754924081266","0.015560754924081266","0.015560754924081266"
"26","0.01084707910194993","0.01084707910194993","0.01084707910194993","0.016105453585623764","0.016105453585623764","0.016105453585623764","0.02887624260620214","0.02887624260620214","0.02887624260620214","0.012870644481154159","0.012870644481154159","0.012870644481154159","0.030056587711442262","0.030056587711442262","0.030056587711442262","0.015386154525913298","0.015386154525913298","0.015386154525913298"
"27","0.010696547251427546","0.010696547251427546","0.010696547251427546","0.015725030258181505","0.015725030258181505","0.015725030258181505","0.029884000774472952","0.029884000774472952","0.029884000774472952","0.012831680767703801","0.012831680767703801","0.012831680767703801","0.02953739740769379","0.02953739740769379","0.02953739740769379","0.015184841831796803","0.015184841831796803","0.015184841831796803"
"28","0.010567098652245477","0.010567098652245477","0.010567098652245477","0.015397575276438147","0.015397575276438147","0.015397575276438147","0.03089717321563512","0.03089717321563512","0.03089717321563512","0.012773137830663472","0.012773137830663472","0.012773137830663472","0.029001060480368324","0.029001060480368324","0.029001060480368324","0.014970138858188875","0.014970138858188875","0.014970138858188875"
"29","0.01037156573147513","0.01037156573147513","0.01037156573147513","0.015106380989891477","0.015106380989891477","0.015106380989891477","0.030931986519135535","0.030931986519135535","0.030931986519135535","0.012710831651929766","0.012710831651929766","0.012710831651929766","0.028533635282656178","0.028533635282656178","0.028533635282656178","0.014763520157430321","0.014763520157430321","0.014763520157430321"
"30","0.010261276445817202","0.010261276445817202","0.010261276445817202","0.014835356225376017","0.014835356225376017","0.014835356225376017","0.031907687764032744","0.031907687764032744","0.031907687764032744","0.012653037905693054","0.012653037905693054","0.012653037905693054","0.02805145260936115","0.02805145260936115","0.02805145260936115","0.014557333110133186","0.014557333110133186","0.014557333110133186"
"31","0.010093763179611415","0.010093763179611415","0.010093763179611415","0.014511196481180377","0.014511196481180377","0.014511196481180377","0.03137976500147488","0.03137976500147488","0.03137976500147488","0.012604454153915867","0.012604454153915867","0.012604454153915867","0.027451582514913753","0.027451582514913753","0.027451582514913753","0.014314427942736074","0.014314427942736074","0.014314427942736074"
"32","0.009949320752639323","0.009949320752639323","0.009949320752639323","0.014303962801932357","0.014303962801932357","0.014303962801932357","0.03205745347077027","0.03205745347077027","0.03205745347077027","0.012555160414194688","0.012555160414194688","0.012555160414194688","0.027068259951192886","0.027068259951192886","0.027068259951192886","0.014066344636376016","0.014066344636376016","0.014066344636376016"
"33","0.009804087574593723","0.009804087574593723","0.009804087574593723","0.014045549120055512","0.014045549120055512","0.014045549120055512","0.031789144792128354","0.031789144792128354","0.031789144792128354","0.012481108075007796","0.012481108075007796","0.012481108075007796","0.0265252990211593","0.0265252990211593","0.0265252990211593","0.0138478564331308","0.0138478564331308","0.0138478564331308"
"34","0.009617022500606254","0.009617022500606254","0.009617022500606254","0.013831405289238319","0.013831405289238319","0.013831405289238319","0.031545734804240055","0.031545734804240055","0.031545734804240055","0.01242692192317918","0.01242692192317918","0.01242692192317918","0.026063828030601144","0.026063828030601144","0.026063828030601144","0.013662364726769738","0.013662364726769738","0.013662364726769738"
"35","0.009562878258293495","0.009562878258293495","0.009562878258293495","0.013662127268617041","0.013662127268617041","0.013662127268617041","0.030708270467584953","0.030708270467584953","0.030708270467584953","0.012370885582640767","0.012370885582640767","0.012370885582640767","0.025688088062452152","0.025688088062452152","0.025688088062452152","0.013383743411395699","0.013383743411395699","0.013383743411395699"
"36","0.009442920447327197","0.009442920447327197","0.009442920447327197","0.013395262707490474","0.013395262707490474","0.013395262707490474","0.030556325102224946","0.030556325102224946","0.030556325102224946","0.012327360978815705","0.012327360978815705","0.012327360978815705","0.025219214279786684","0.025219214279786684","0.025219214279786684","0.0131386093198671","0.0131386093198671","0.0131386093198671"
"37","0.009300669538788497","0.009300669538788497","0.009300669538788497","0.013271379815705586","0.013271379815705586","0.013271379815705586","0.030544833018211648","0.030544833018211648","0.030544833018211648","0.01227585069136694","0.01227585069136694","0.01227585069136694","0.0249852737179026","0.0249852737179026","0.0249852737179026","0.012903092545457184","0.012903092545457184","0.012903092545457184"
"38","0.009185544564388692","0.009185544564388692","0.009185544564388692","0.01312687195604667","0.01312687195604667","0.01312687195604667","0.031249327526893467","0.031249327526893467","0.031249327526893467","0.012216329778311774","0.012216329778311774","0.012216329778311774","0.024709777717362158","0.024709777717362158","0.024709777717362158","0.01262245013640495","0.01262245013640495","0.01262245013640495"
"39","0.009073391614947468","0.009073391614947468","0.009073391614947468","0.012911376630654559","0.012911376630654559","0.012911376630654559","0.03046176370116882","0.03046176370116882","0.03046176370116882","0.012159807345597073","0.012159807345597073","0.012159807345597073","0.02459507592720911","0.02459507592720911","0.02459507592720911","0.012385302114125807","0.012385302114125807","0.012385302114125807"
"40","0.00895635416964069","0.00895635416964069","0.00895635416964069","0.012814879497454967","0.012814879497454967","0.012814879497454967","0.031030330210342072","0.031030330210342072","0.031030330210342072","0.012096232530893758","0.012096232530893758","0.012096232530893758","0.02438527533377055","0.02438527533377055","0.02438527533377055","0.012143628424382769","0.012143628424382769","0.012143628424382769"
"41","0.008874088787706569","0.008874088787706569","0.008874088787706569","0.012751502530591097","0.012751502530591097","0.012751502530591097","0.03128741882392205","0.03128741882392205","0.03128741882392205","0.012030792830046266","0.012030792830046266","0.012030792830046266","0.02436417044373229","0.02436417044373229","0.02436417044373229","0.011909658118383959","0.011909658118383959","0.011909658118383959"
"42","0.008805442252196372","0.008805442252196372","0.008805442252196372","0.012618849272257648","0.012618849272257648","0.012618849272257648","0.031641330278944224","0.031641330278944224","0.031641330278944224","0.011964268109295517","0.011964268109295517","0.011964268109295517","0.02428721875185147","0.02428721875185147","0.02428721875185147","0.011673837150738109","0.011673837150738109","0.011673837150738109"
"43","0.00876395680825226","0.00876395680825226","0.00876395680825226","0.012460327212465927","0.012460327212465927","0.012460327212465927","0.031852067142608576","0.031852067142608576","0.031852067142608576","0.011943041783524677","0.011943041783524677","0.011943041783524677","0.02432543959002942","0.02432543959002942","0.02432543959002942","0.011451330399722792","0.011451330399722792","0.011451330399722792"
"44","0.008684438624186441","0.008684438624186441","0.008684438624186441","0.012424258893588558","0.012424258893588558","0.012424258893588558","0.03209420316852629","0.03209420316852629","0.03209420316852629","0.011896358133526519","0.011896358133526519","0.011896358133526519","0.024557268334319815","0.024557268334319815","0.024557268334319815","0.011194033795618452","0.011194033795618452","0.011194033795618452"
"45","0.008581811416661367","0.008581811416661367","0.008581811416661367","0.012349490745691583","0.012349490745691583","0.012349490745691583","0.03330951518728398","0.03330951518728398","0.03330951518728398","0.01181179896229878","0.01181179896229878","0.01181179896229878","0.024729393713641912","0.024729393713641912","0.024729393713641912","0.011032909984351136","0.011032909984351136","0.011032909984351136"
"46","0.008606868505012244","0.008606868505012244","0.008606868505012244","0.01224710646783933","0.01224710646783933","0.01224710646783933","0.0328827711782651","0.0328827711782651","0.0328827711782651","0.011770528828492388","0.011770528828492388","0.011770528828492388","0.024927793245296925","0.024927793245296925","0.024927793245296925","0.010796154892886989","0.010796154892886989","0.010796154892886989"
"47","0.00858108967076987","0.00858108967076987","0.00858108967076987","0.012324407929554582","0.012324407929554582","0.012324407929554582","0.03287598262249958","0.03287598262249958","0.03287598262249958","0.011695175402564928","0.011695175402564928","0.011695175402564928","0.025179484393447638","0.025179484393447638","0.025179484393447638","0.010593576567771379","0.010593576567771379","0.010593576567771379"
"48","0.008607643860159442","0.008607643860159442","0.008607643860159442","0.012261626397958025","0.012261626397958025","0.012261626397958025","0.033020702583598904","0.033020702583598904","0.033020702583598904","0.011641355376923457","0.011641355376923457","0.011641355376923457","0.025389206391992047","0.025389206391992047","0.025389206391992047","0.010402080588391982","0.010402080588391982","0.010402080588391982"
